取引先コード,取引先名,郵便番号,住所,電話番号,FAX番号
111,大崎産業株式会社,791-8522,愛媛県松山市井門町1016,089-858-6005,089-858-6006
112,日進海運株式会社,790-3901,松山市和気町上5丁目6番19号,088-922-3141,088-922-3142
113,甲南電機産業株式会社,651-2211,神戸市西区押部谷町木見3番4号,078-991-1711,078-991-1776
114,有限会社山下工業,781-0112,高知市仁井田新築町475番地,088-847-1484,088-847-1485
115,ストーコージャパン株式会社,781-5252,高知県香南市吉川町吉原2281-1,0887-55-2811,0887-55-2812
116,東京機械工業株式会社,105-0011,東京都港区芝公園1-2-3,03-1234-5678,03-1234-5679
117,大阪製作所,530-0001,大阪府大阪市北区梅田2-4-6,06-8765-4321,06-8765-4322
118,名古屋産業株式会社,460-0008,愛知県名古屋市中区栄3-4-5,052-9876-5432,052-9876-5433
119,横浜エンジニアリング,220-8107,神奈川県横浜市西区みなとみらい1-1-1,045-1111-2222,045-1111-2223
120,福岡工業,812-0011,福岡県福岡市博多区博多駅前2-1-1,092-3333-4444,092-3333-4445