製品コード,製品名,会社名,カテゴリ,材質,単重,標準価格,説明,仕様,図面番号
P001,コネクタ VLN-15,大崎産業株式会社,コネクタ,S14,13.2,15000,VLNシリーズコネクタ15型,耐圧: 10MPa温度範囲: -40～+150℃,DWG-815-162
P002,コネクタ VLN-5,大崎産業株式会社,コネクタ,S14,7.3,8500,VLNシリーズコネクタ5型,耐圧: 8MPa温度範囲: -20～+120℃,DWG-895-163
P003,エアレジメンテ 2個セット,日進海運株式会社,エア部品,SCS,10.5,25000,エアレジメンテーション部品2個セット,高圧対応設計流量: 100L/min,DWG-SCH11
P004,コネクタ VLN-3 4個セット,甲南電機産業株式会社,コネクタ,SCS,6.0,18000,VLNシリーズコネクタ3型4個セット,標準圧力対応小型設計,DWG-893-162
P005,フランジ継手 大型,有限会社山下工業,継手,SUS304,25.8,45000,大型フランジ継手,JIS規格準拠 DN100,DWG-FL-100
P006,バルブ本体,ストーコージャパン株式会社,バルブ,S14,18.5,35000,高圧用バルブ本体,最大圧力: 16MPa,DWG-VLV-160
P007,カップリング,東京機械工業株式会社,継手,SCS,8.2,12000,標準カップリング,クイック接続タイプ,DWG-CP-80
P008,シール部品,大阪製作所,シール,SUS304,2.1,3500,高温対応シール部品,耐熱温度: 200℃,DWG-SL-200
P009,ノズル先端部,名古屋産業株式会社,ノズル,S14,4.7,8800,精密ノズル先端部品,高精度加工品,DWG-NZ-47
P010,ジョイント部品,横浜エンジニアリング,継手,SCS,12.3,22000,多方向ジョイント部品,3方向接続対応,DWG-JT-123